,query,predicted_mql,actual_iMQL_phrased,INDEX
120,Profits & discounts on envelopes - what's the yearly trend?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'FILTER': {'envelopes': [{'ENTITY': 'Envelopes', 'PARENT': 'Sub-Category'}]}, 'DATE VARIABLE': {'yearly trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'FILTER': {'envelopes': [{'ENTITY': 'Envelopes', 'PARENT': 'Sub-Category'}]}, 'DATE VARIABLE': {'yearly trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}]}}",120
121,2-month discount growth: bottom cities?,"{'DIMENSION': {'cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'discount growth': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'2-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'DIMENSION': {'cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'discount growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'2-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",121
122,"Cities with lowest discount growth rate, March '22?","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'growth rate': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'March 22': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 22'}]}}","{'error_output': '{\n    ""MEASURE"": {},\n    ""DIMENSION"": {\n        ""Cities"": [\n            {\n                ""ENTITY"": ""City"",\n                ""RANK"": [{""RANK ADJECTIVE"":""lowest"", ""RANK VALUE"": ""1""}],\n                ""ADJECTIVE"": [""lowest""],\n                ""TONE"": ""negative""\n            }\n        ]\n    },\n    ""FILTER"": {},\n    ""DERIVED MEASURE"": {\n        ""discount growth rate"": [\n            {\n                ""ENTITY"": ""Growth Rate"",\n                ""RATIO FILTER"": [{""discount"": ""Discount""}],\n                ""APPLIED MEASURE"": [{""discount"": ""Discount""}],\n                ""DERIVED MEASURE CONSTRAINT"": [],\n                ""ADJECTIVE"": [],\n                ""TONE"": """"\n            }\n        ]\n    },\n    ""DATE VARIABLE"": {\n        ""March \'22"": [\n            {\n                ""ENTITY"": ""Order Date"",\n                ""CONVERTED TIME ELEMENT"": ""March 2022""\n            }\n        ]\n    }\n}'}",122
123,Profits for El Salvador in 2 months?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}},123
124,Which customer IDs have the highest yearly profit growth?,"{'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID', 'RANK': [{'RANK ADJECTIVE': 'highest', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'yearly profit growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profits': 'Profit'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}, 'DATE VARIABLE': {'yearly': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}]}}","{'DIMENSION': {'customer IDs': [{'ENTITY': 'Customer ID', 'RANK': [{'RANK ADJECTIVE': 'highest', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'yearly profit growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profit': 'Profit'}]}]}, 'DATE VARIABLE': {'yearly': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}]}}",124
125,City-wise discount & quantity comparison: March 2022 vs,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantity': [{'ENTITY': 'Quantity'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'March 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}], 'vs': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across days'}]}}","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantity': [{'ENTITY': 'Quantity'}]}, 'DIMENSION': {'City-wise': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'March 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}], 'vs': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last period'}]}}",125
126,"In 1st quarter of last yr, when was highest share of overall profits for El Salvador?","{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'ADJECTIVE': ['highest'], 'TONE': 'positive'}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'profits': 'Profit'}], 'ADJECTIVE': ['highest'], 'TONE': 'positive'}]}, 'DATE VARIABLE': {'1st quarter of last yr': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'profits': 'Profit'}], 'ADJECTIVE': ['highest'], 'TONE': 'positive'}]}, 'DATE VARIABLE': {'1st quarter of last yr': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}], 'when': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}]}}",126
127,Which customer IDs have over 10k profits in 3 yrs?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'3 yrs': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'customer IDs': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'3 yrs': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}",127
128,How much do discounts contribute to cities?,"{'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DERIVED MEASURE': {'contribution': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discounts': 'Discount'}]}]}}","{'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DERIVED MEASURE': {'discounts contribute': [{'ENTITY': 'ratio'}]}}",128
129,What's the growth trend in profits for customer id over 3 years?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DERIVED MEASURE': {'growth trend': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'profits': 'profits'}]}]}, 'DATE VARIABLE': {'over 3 years': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DERIVED MEASURE': {'growth trend': [{'ENTITY': 'Growth Rate'}]}, 'DATE VARIABLE': {'3 years': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}",129
130,Customer ID profits: past 10 days compared to past 10 months?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'past 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}], 'past 10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'Customer ID': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'past 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}], 'past 10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}",130
131,"What's the discount contribution from Burundi, Mali, Singapore, and Brazil?","{'DERIVED MEASURE': {'discount contribution': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}}","{'FILTER': {'Burundi, Mali, Singapore, and Brazil': [{'ENTITY': 'Southeast Asia', 'PARENT': 'Region'}]}, 'DERIVED MEASURE': {'discount contribution': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}}",131
132,Yearly profit trends in last 10 days: which customer IDs?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer IDs': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'yearly trends': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}], 'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}","{'MEASURE': {'profit': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer IDs': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'Yearly profit trends': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}], 'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}",132
133,"Sales in Kenya, S","{'MEASURE': {'sale': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'kenya': [{'ENTITY': 'Country'}]}}",{'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}},133
134,Lowest growth rate trend in discount percentage: which subcategory?,"{'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}], 'TREND': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}], 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}}","{'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'growth rate': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}], 'trend': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across days'}]}}",134
135,Highest discount contribution in cities - when was it?,"{'DIMENSION': {'cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'highest', 'RANK VALUE': '1'}], 'ADJECTIVE': ['highest'], 'TONE': 'positive'}]}, 'DERIVED MEASURE': {'discount contribution': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date'}]}}","{'DIMENSION': {'cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}], 'ADJECTIVE': ['highest'], 'TONE': 'positive'}]}, 'DERIVED MEASURE': {'contribution': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date'}]}}",135
136,Discount % prediction in past 10 months?,"{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'past 10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}","{'MEASURE': {'Discount %': [{'ENTITY': 'Discount percentage', 'ADJECTIVE': ['prediction']}]}, 'DATE VARIABLE': {'past 10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}",136
137,15d sales trend in Kenya & S,"{'MEASURE': {'sale': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'kenya & S': [{'ENTITY': 'Country'}]}, 'DATE VARIABLE': {'15d': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}","{'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'15d': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}], 'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'trend'}]}}",137
138,Discount % contribution in subcategory?,"{'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category'}]}, 'DERIVED MEASURE': {'discount % contribution': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}}",{'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category'}]}},138
139,"What were discount, shipping, and profit in the past quarter?","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'shipping': [{'ENTITY': 'Shipping Cost'}], 'profit': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'past quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'shipping': [{'ENTITY': 'Shipping Cost'}], 'profit': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'past quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",139
140,"Last quarter, which subcategory had the least correlation between discount % and shipping cost?","{'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}, 'DERIVED MEASURE': {'correlation': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'discount %': 'Discount percentage'}, {'shipping cost': 'Shipping Cost'}], 'ADJECTIVE': ['least'], 'TONE': 'negative'}]}, 'DATE VARIABLE': {'last quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'least', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'correlation': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'discount %': 'Discount percentage'}, {'shipping cost': 'Shipping Cost'}]}]}, 'DATE VARIABLE': {'last quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",140
141,What's the discount percentage for Guinea in the prior quarter?,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'prior quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'DATE VARIABLE': {'prior quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",141
142,"Discount %, shipping cost, profits of subcategory in last quarter?","{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}], 'shipping cost': [{'ENTITY': 'Shipping Cost'}], 'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'last quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'MEASURE': {'shipping cost': [{'ENTITY': 'Shipping Cost'}], 'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category'}]}, 'DERIVED MEASURE': {'Discount %': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'last quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",142
143,Top cities based on discount contribution?,"{'DIMENSION': {'cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'discount contribution': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}}","{'DIMENSION': {'cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'discount contribution': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}}",143
144,Previous quarter's lowest contributors to discount percentage growth?,"{'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}], 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DERIVED MEASURE': {'contribution to growth': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}, 'DATE VARIABLE': {'previous quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'FILTER': {'low': [{'ENTITY': 'Low', 'PARENT': 'Order Priority'}]}, 'DERIVED MEASURE': {'contributors': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}], 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}], 'growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}, 'DATE VARIABLE': {'previous quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",144
145,When did El Salvador's profits peak for the first time?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'ADJECTIVE': ['peak'], 'TONE': 'positive'}]}, 'DATE VARIABLE': {'When': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'first time'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'ADJECTIVE': ['peak'], 'TONE': 'positive'}]}, 'DATE VARIABLE': {'When': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'first time'}]}}",145
146,Bottom product names by profit share trend in Q1 last year?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'Q1 last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'Q1 2020'}]}}","{'DIMENSION': {'product names': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'profit share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'profit': 'Profit'}]}]}, 'DATE VARIABLE': {'Q1 last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}",146
147,"First time discount > 20k% and sales < $100,000?","{'MEASURE': {'discount': [{'ENTITY': 'Discount percentage', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}], 'sales': [{'ENTITY': 'Sales', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '$100000', 'COMPARISON OPERATOR': '<'}]}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'first time'}]}}","{'MEASURE': {'discount': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20k', 'COMPARISON OPERATOR': '>'}], 'ADJECTIVE': ['first time']}], 'sales': [{'ENTITY': 'Sales', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '$100,000', 'COMPARISON OPERATOR': '<'}]}]}, 'DATE VARIABLE': {'time': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'first time'}]}}",147
148,Previous quarter's subcategories with discount % above 50k?,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '50k', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'previous quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '50k', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'subcategories': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'Previous quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",148
149,"Lowest discount cities, not counting Guinea Bissau & Uzbekistan?","{'MEASURE': {'discount': [{'ENTITY': 'Discount', 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}}","{'MEASURE': {'discount': [{'ENTITY': 'Discount', 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}]}]}, 'FILTER': {'low': [{'ENTITY': 'Low', 'PARENT': 'Order Priority'}]}}",149
150,Ratio of discounts: Burundi vs,"{'DERIVED MEASURE': {'ratio': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discounts': 'Discount'}]}]}}","{'DERIVED MEASURE': {'ratio': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discounts': 'Discount'}]}]}}",150
151,"2-month city-wise discount, quantity, profit?","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantity': [{'ENTITY': 'Quantity'}], 'profit': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'2-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantity': [{'ENTITY': 'Quantity'}], 'profit': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'city': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'2-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",151
152,Which shipping method has >50k sales?,"{'MEASURE': {'sale': [{'ENTITY': 'Sales', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '50k', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'ship mode': [{'ENTITY': 'Ship Mode'}]}}","{'MEASURE': {'sales': [{'ENTITY': 'Sales', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '50k', 'COMPARISON OPERATOR': '>'}]}]}}",152
153,Product name: 2-month growth in overall profits?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DERIVED MEASURE': {'growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profits': 'Profit'}]}], '2-month': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'Product name': [{'ENTITY': 'Product Name'}]}, 'DERIVED MEASURE': {'growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'2-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",153
154,Monthly trend for discount & quantities in Burundi?,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across months'}]}}","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DATE VARIABLE': {'Monthly trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across months'}]}}",154
155,Q1 sales and profits last year?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last year'}]}}","{'MEASURE': {'sales': [{'ENTITY': 'Sales'}], 'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last year'}]}}",155
156,Q1 2019 vs Q2 2020: profits & sales?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'Q1 2019': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'q1 2019'}], 'Q2 2020': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'q2 2020'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'Q1 2019': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 2019'}], 'Q2 2020': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 2 2020'}]}}",156
157,Non-India subcategories?,{'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}},{'DIMENSION': {'subcategories': [{'ENTITY': 'Sub-Category'}]}},157
